Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Sweden,8.426,1044.82,-181.307,1176.677,1315.063,246.182,4.086,8.837,10.417,-2.677,2518.041,284926.975,23.844,20.654,76.809,22.652
Switzerland,20.553,126.172,-5.624,132.338,213.581,103.765,3.963,7.019,4.233,,450.443,64174.783,32.164,26.153,90.99,3.22
Syria,0.207,148.163,,169.906,871.55,707.429,,14.61,,,889.039,60849.921,28.488,27.235,103.683,-1.029
Taiwan Province of China,5.474,1559.429,-499.803,2058.805,,,9.045,21.357,1.79,,6877.169,322003.569,29.855,28.018,83.837,12.822
Tajikistan,-0.102,,,,,,,5.668,,,0.065,11.439,8.286,24.659,26.996,-8.028
Tanzania,-0.59,493.661,,571.331,,,,28.769,,,13884.633,482619.742,11.502,24.469,59.741,33.938
Thailand,-13.582,826.508,106.859,701.724,,,,59.47,,,5068.826,85232.969,35.045,42.863,62.37,15.445
The Bahamas,-0.137,0.646,,0.665,1.159,,,0.279,10.9,,5.6,20082.533,13.982,23.251,71.1,0.198
The Gambia,-0.016,,,,,,,1.106,,,11.898,10754.93,15.536,6.904,138.44,
Timor-Leste,,,,,,,,,,,,,,,,
Togo,-0.122,108.804,,142.011,,,,4.085,,,930,227634.762,5.394,13.827,70.657,-5.982
Tonga,-0.018,,,,,,,0.097,,,0.645,6658.243,,,40.148,
Trinidad and Tobago,0.294,8.86,,8.429,18.129,,,1.255,17.172,,35.476,28267.636,26.295,20.581,80.376,21.4
Tunisia,-0.777,4.299,-0.508,5.066,12.795,12.795,,8.958,16.177,,24.857,2774.946,18.486,22.438,65.924,4.67
Turkey,-2.339,,,,,4.564,,57.453,7.628,,59.183,1030.118,21.105,23.478,2.82,12.129
Turkmenistan,0,,,,,,,4.188,,,6.92,1652.244,,,15.083,
Tuvalu,,,,,,,,,,,,,,,,
Uganda,-0.281,,,,,,,20.7,,,14789.866,714486.275,9.084,18.246,63.694,37.928
Ukraine,-1.152,20.618,,23.28,,,,50.874,14.8,,810.183,15925.255,23.025,26.762,4234481.134,4.919
United Arab Emirates,0.108,94.787,,60.879,,,,2.411,,,477.131,197897.495,27.425,27.256,129.6,8.928
United Kingdom,-8.605,274.958,-35.695,317.251,371.852,335.021,25.819,58.025,8.625,-1.167,1176.282,20271.986,19.428,20.123,67.7,9.446
United States,-113.571,,,,,,124.908,266.458,5.592,-0.89,10174.75,38185.169,18.652,21.205,154.383,10.275
Uruguay,-0.213,,,,,,,3.199,10.3,,375.723,117445.393,12.954,16.984,25.372,-0.903
Uzbekistan,-0.02,104.812,,116.447,,,,22.69,,,390.48,17209.582,23.993,24.2,122.877,18.899
Vanuatu,-0.005,7.093,,7.816,6.726,,,0.169,,,37.124,220295.92,,,90.857,
Venezuela,2.136,3.696,,4.498,,,,21.751,,,39.509,1816.456,20.72,18.114,5.531,8.6
Vietnam,-2.648,,,,,,,71.996,5.82,,797064.23,11071028.47,14.411,27.144,84.592,22.229
Yemen,0.039,95.296,,125.04,,,,15.219,,,199.596,13115.194,22.664,21.749,54.902,68.142
Zambia,-0.145,,,,,,,9.254,,,39.692,4289.149,8.136,21.936,8.537,
Zimbabwe,-0.369,,,,,,,11.523,,,,,,,,
